Scenario,Move,FarLot,FarLoss,HarvestNet,Reserve,Coverage,Deficit,RecoveryPL,ReserveCatchUpRatio,Law1,Law2,LotStep,CostMultiplier
30,500,2,1000.0,1918.2,1726.38,1726.38,-726.38,863.0,2.34,PASS,PASS,0.1,1
31,10,5,50.0,0,0.0,0.0,50.0,-801.0,2.34,PASS,PASS,0.001,1
31,20,5,100.0,0,0.0,0.0,100.0,-721.0,2.34,PASS,PASS,0.001,1
31,50,5,250.0,0,0.0,0.0,250.0,-481.0,2.34,PASS,PASS,0.001,1
31,100,5,500.0,485.0,436.5,436.5,63.5,-81.0,2.34,PASS,PASS,0.001,1
31,200,5,1000.0,1785.0,1606.5,1606.5,-606.5,719.0,2.34,PASS,PASS,0.001,1
31,500,5,2500.0,5685.0,5116.5,5116.5,-2616.5,3119.0,2.34,PASS,PASS,0.001,1
32,10,10,100.0,0,0.0,0.0,100.0,-2001.0,2.34,PASS,PASS,0.01,1
32,20,10,200.0,0,0.0,0.0,200.0,-1841.0,2.34,PASS,PASS,0.01,1
32,50,10,500.0,0,0.0,0.0,500.0,-1361.0,2.34,PASS,PASS,0.01,1
32,100,10,1000.0,601.0,540.9,540.9,459.1,-561.0,2.34,PASS,PASS,0.01,1
32,200,10,2000.0,3201.0,2880.9,2880.9,-880.9,1039.0,2.34,PASS,PASS,0.01,1
32,500,10,5000.0,11001.0,9900.9,9900.9,-4900.9,5839.0,2.34,PASS,PASS,0.01,1
33,10,0.01,0.1,0,0.0,0.0,0.1,-1.74,0.0,FAIL,FAIL,0.1,1
33,20,0.01,0.2,0,0.0,0.0,0.2,-1.84,0.0,FAIL,FAIL,0.1,1
33,50,0.01,0.5,0,0.0,0.0,0.5,-2.14,0.0,FAIL,FAIL,0.1,1
33,100,0.01,1.0,0,0.0,0.0,1.0,-2.64,0.0,FAIL,FAIL,0.1,1
33,200,0.01,2.0,0,0.0,0.0,2.0,-3.64,0.0,FAIL,FAIL,0.1,1
33,500,0.01,5.0,0,0.0,0.0,5.0,-6.64,0.0,FAIL,FAIL,0.1,1
34,10,0.05,0.5,0,0.0,0.0,0.5,-15.0,2.34,PASS,PASS,0.001,1
34,20,0.05,1.0,0,0.0,0.0,1.0,-14.2,2.34,PASS,PASS,0.001,1
34,50,0.05,2.5,0,0.0,0.0,2.5,-11.8,2.34,PASS,PASS,0.001,1
34,100,0.05,5.0,0,0.0,0.0,5.0,-7.8,2.34,PASS,PASS,0.001,1
34,200,0.05,10.0,11.31,10.179,10.179,-0.179,0.2,2.34,PASS,PASS,0.001,1
34,500,0.05,25.0,50.31,45.279,45.279,-20.279,24.2,2.34,PASS,PASS,0.001,1
35,10,0.1,1.0,0,0.0,0.0,1.0,-33.0,2.34,PASS,PASS,0.01,1
35,20,0.1,2.0,0,0.0,0.0,2.0,-31.4,2.34,PASS,PASS,0.01,1
35,50,0.1,5.0,0,0.0,0.0,5.0,-26.6,2.34,PASS,PASS,0.01,1
35,100,0.1,10.0,0,0.0,0.0,10.0,-18.6,2.34,PASS,PASS,0.01,1
35,200,0.1,20.0,19.92,17.928,17.928,2.072,-2.6,2.34,PASS,PASS,0.01,1
35,500,0.1,50.0,97.92,88.128,88.128,-38.128,45.4,2.34,PASS,PASS,0.01,1
36,10,0.5,5.0,0,0.0,0.0,5.0,-181.0,2.34,PASS,PASS,0.1,1
36,20,0.5,10.0,0,0.0,0.0,10.0,-173.0,2.34,PASS,PASS,0.1,1
36,50,0.5,25.0,0,0.0,0.0,25.0,-149.0,2.34,PASS,PASS,0.1,1
36,100,0.5,50.0,0,0.0,0.0,50.0,-109.0,2.34,PASS,PASS,0.1,1
36,200,0.5,100.0,80.4,72.36,72.36,27.64,-29.0,2.34,PASS,PASS,0.1,1
36,500,0.5,250.0,470.4,423.36,423.36,-173.36,211.0,2.34,PASS,PASS,0.1,1
37,10,1,10.0,0,0.0,0.0,10.0,-161.0,2.34,PASS,PASS,0.001,1
37,20,1,20.0,0,0.0,0.0,20.0,-145.0,2.34,PASS,PASS,0.001,1
37,50,1,50.0,0,0.0,0.0,50.0,-97.0,2.34,PASS,PASS,0.001,1
