GeneratedAt,GitCommit,Seed,ScenarioId,Direction,SymbolModel,InputSet,Result,Law1Status,Law2Status,Law3Status,RejectReason,Kind,HarvestNet,ReserveCredit,PartialFarBudget,TransitionBudget,Unallocated,Residual
2026-07-21T19:48:22.578271+00:00,5f8bd2459a3e75875da8850fa8223ade8406b405,20260721,16,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BIG,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21T19:48:22.578293+00:00,5f8bd2459a3e75875da8850fa8223ade8406b405,20260721,17,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BIG,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21T19:48:22.578299+00:00,5f8bd2459a3e75875da8850fa8223ade8406b405,20260721,18,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BIG,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21T19:48:22.578305+00:00,5f8bd2459a3e75875da8850fa8223ade8406b405,20260721,19,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BIG,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21T19:48:22.578310+00:00,5f8bd2459a3e75875da8850fa8223ade8406b405,20260721,20,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BIG,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21T19:48:22.578315+00:00,5f8bd2459a3e75875da8850fa8223ade8406b405,20260721,21,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BIG,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21T19:48:22.578321+00:00,5f8bd2459a3e75875da8850fa8223ade8406b405,20260721,22,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BIG,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21T19:48:22.578326+00:00,5f8bd2459a3e75875da8850fa8223ade8406b405,20260721,23,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BIG,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21T19:48:22.578331+00:00,5f8bd2459a3e75875da8850fa8223ade8406b405,20260721,24,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BIG,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21T19:48:22.578337+00:00,5f8bd2459a3e75875da8850fa8223ade8406b405,20260721,25,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BIG,0.0,0.0,0.0,0.0,0.0,0.0
2026-07-21T19:48:22.578342+00:00,5f8bd2459a3e75875da8850fa8223ade8406b405,20260721,26,FAR_SELL,POINT_VALUE_1_BID_ASK_COST_MODEL,HYBRID_CORE_TARGET,PASS,PASS,PASS,PASS,,BIG,0.0,0.0,0.0,0.0,0.0,0.0
