RunID,Category,StartLot,BigRatio,SmallRatio,CloseBigOnSmall,RemainBigOnSmall,CloseFarShare,ReserveShare,SmallReserveShare,InitialTriggerPoints,BigMoveStartPoints,BigMoveStepPoints,FarDistancePoints,MaxHarvestLevels,MaxReverseCycles,MaxSpreadPoints,MaxMarginPercent,MaxDrawdownPercent,RecoveryPL_Mean,RecoveryPL_Min,RecoveryPL_Max,MaxDD_Mean,MaxDD_Max,MaxMarginUsed,StopMaxLevelsCount,ClosedProfitCount,ClosedRecoveryLossCount,CompressionRatio,NewBigToOldFarRatio,Score,Verdict
7440,CANDIDATE,0.05,1.05,0.25,0.3,0.7,0.3,0.7,0.1,200,200,75,100,9,3,80,60,25,-11.78,-16.54,1.5,12.26,16.54,120.0,0,1,6,1.0,1.0,-3138.695,REJECTED_RECOVERY_LOSS
13342,CANDIDATE,1.0,1.15,0.25,0.4,0.6,0.25,0.75,0.03,200,70,100,200,10,5,30,60,30,-31.15,-202.99,32.78,107.96,202.99,2440.0,0,4,3,0.8,1.0,-3138.72,REJECTED_RECOVERY_LOSS
3602,CANDIDATE,0.1,1.18,0.2,0.35,0.65,0.1,0.9,0.03,200,70,100,300,6,3,40,50,15,-3.07,-23.88,11.97,14.37,23.88,250.0,1,2,5,0.8333,1.0,-3139.61,REJECTED_STOP_MAX_LEVELS
23377,CANDIDATE,0.05,1.25,0.25,0.5,0.5,0.25,0.75,0.0,100,100,50,100,10,3,60,70,30,-10.52,-13.98,1.13,10.88,13.98,130.0,0,1,6,1.0,1.0,-3139.61,REJECTED_RECOVERY_LOSS
9296,CANDIDATE,0.05,1.05,0.15,0.45,0.55,0.4,0.6,0.1,70,70,100,200,9,3,80,50,20,-13.25,-16.62,1.57,13.9,16.78,110.0,0,1,6,1.0,1.0,-3139.635,REJECTED_RECOVERY_LOSS
12237,CANDIDATE,0.1,1.15,0.3,0.3,0.7,0.25,0.75,0.05,200,100,100,150,6,10,40,50,20,-3.13,-26.48,7.73,10.15,22.34,250.0,3,4,3,1.0,1.0,-3139.83,REJECTED_STOP_MAX_LEVELS
6045,CANDIDATE,0.05,1.18,0.25,0.4,0.6,0.4,0.6,0.05,100,70,100,300,10,3,80,60,20,-11.98,-19.67,6.08,14.35,19.67,130.0,0,1,6,1.0,1.0,-3140.01,REJECTED_RECOVERY_LOSS
7260,CANDIDATE,1.0,1.18,0.15,0.3,0.7,0.4,0.6,0.03,70,200,75,200,7,3,30,50,20,-15.62,-255.63,73.48,123.42,255.63,2360.0,0,4,3,0.8462,1.0,-3140.045,REJECTED_RECOVERY_LOSS
19649,CANDIDATE,0.05,1.12,0.3,0.5,0.5,0.1,0.9,0.03,70,200,25,200,10,3,80,60,15,-11.69,-16.98,4.24,12.96,16.98,130.0,0,1,6,1.0,1.0,-3140.145,REJECTED_RECOVERY_LOSS
18011,CANDIDATE,0.1,1.05,0.35,0.3,0.7,0.15,0.85,0.0,70,150,100,150,10,10,40,50,15,-3.51,-15.29,2.66,8.44,15.21,240.0,3,4,3,1.0,1.0,-3140.305,REJECTED_STOP_MAX_LEVELS
